               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/prohibitory_mAP,  metrics/danger_mAP,metrics/mandatory_mAP,   metrics/other_mAP,metrics/prohibitory_mAP_50,metrics/danger_mAP_50,metrics/mandatory_mAP_50,metrics/other_mAP_50
                   0,             0.11994,              0.0229,            0.044531,           0.0016905,             0.32033,           0.0083222,           0.0018258,             0.10044,            0.020504,            0.040371,            0.070811,           0.0032432,           0.0032432,            0.006412,          0.00021705,          0.00035971,          0.00031434,            0.029614,          0.00086771,           0.0011073,           0.0017004
                   1,            0.087274,            0.022736,            0.038495,             0.05763,             0.11591,            0.084858,            0.020784,            0.076496,            0.018477,            0.037695,            0.040681,           0.0064464,           0.0064464,            0.043525,            0.018451,            0.014213,           0.0069482,             0.20391,            0.041067,            0.063212,            0.031244
                   2,            0.076647,             0.01852,            0.035479,            0.084109,             0.34656,             0.10093,            0.031541,            0.077308,            0.015908,            0.031742,            0.010418,           0.0095175,           0.0095175,            0.033643,            0.035707,             0.04662,            0.010196,             0.14171,            0.098765,              0.1275,             0.03575
                   3,            0.069932,            0.016542,            0.031057,             0.47274,             0.33014,             0.25941,             0.14446,            0.075024,            0.014337,            0.028735,            0.009406,            0.009406,            0.009406,             0.29743,             0.21771,            0.033316,            0.029408,             0.52333,              0.3823,            0.064863,            0.067126
                   4,            0.061115,            0.014739,            0.027442,             0.41631,             0.57795,               0.385,               0.136,            0.057642,            0.015284,             0.02368,            0.009406,            0.009406,            0.009406,            0.065218,             0.23712,             0.12449,             0.11718,             0.30718,             0.63196,             0.32557,             0.27528
                   5,            0.057153,            0.012966,            0.022207,             0.34973,             0.71523,             0.50459,             0.21745,            0.066877,            0.014319,            0.018569,            0.009208,            0.009208,            0.009208,             0.28993,             0.22792,             0.21708,             0.13485,             0.64055,             0.61295,             0.46577,             0.29909
                   6,            0.052889,            0.011826,            0.018986,             0.59223,             0.74122,             0.70453,              0.3517,            0.050473,            0.012353,            0.014865,             0.00901,             0.00901,             0.00901,             0.27259,              0.4494,              0.4496,             0.23522,             0.72663,             0.83703,             0.72612,             0.52835
                   7,            0.050787,              0.0105,            0.015319,             0.74844,             0.78947,             0.83353,             0.50171,            0.053215,           0.0099702,            0.014406,            0.008812,            0.008812,            0.008812,             0.60798,              0.5206,             0.57925,             0.29902,             0.94762,             0.86908,              0.8365,             0.68092
                   8,            0.048693,            0.010075,            0.014821,             0.91413,             0.79519,             0.91183,              0.4911,            0.045955,            0.009672,            0.011619,            0.008614,            0.008614,            0.008614,             0.50711,             0.47096,             0.52758,             0.45874,             0.97188,             0.96006,             0.91534,             0.80005
                   9,             0.04753,           0.0097536,            0.012416,             0.81826,              0.8664,             0.87396,             0.49625,            0.041243,           0.0090174,            0.010971,            0.008416,            0.008416,            0.008416,             0.65375,             0.46234,             0.46615,             0.40274,             0.97761,             0.90381,             0.78427,             0.83015
                  10,            0.044277,           0.0087291,            0.009722,             0.95064,             0.88105,             0.94656,             0.54512,            0.041892,           0.0086843,           0.0090562,            0.008218,            0.008218,            0.008218,             0.56951,             0.59374,             0.53226,             0.48497,              0.9819,              0.9829,             0.91414,             0.90729
